                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.6775,                0.44571,                0.99021,                0.96193,                0.94148,                0.96776,                0.80636,                0.66769,                0.32381,                0.97953,               0.006535,               0.006535,               0.006535
                     38,                0.68444,                0.44408,                0.99368,                0.96322,                0.94561,                  0.968,                0.80815,                0.66719,                0.32413,                0.98134,               0.006436,               0.006436,               0.006436
                     39,                0.67228,                0.43483,                0.98633,                0.96417,                0.94386,                 0.9684,                  0.808,                0.66405,                 0.3212,                0.97989,               0.006337,               0.006337,               0.006337
                     40,                 0.6722,                0.43744,                0.98856,                0.96524,                0.94241,                0.96926,                0.81067,                0.66252,                0.31839,                 0.9794,               0.006238,               0.006238,               0.006238
                     41,                0.66354,                  0.425,                0.98535,                0.95995,                0.94686,                0.96916,                0.81039,                0.66147,                0.31651,                0.97971,               0.006139,               0.006139,               0.006139
                     42,                0.66663,                0.42635,                0.98724,                0.96214,                0.94385,                0.96959,                0.81011,                0.66205,                0.31703,                0.97947,                0.00604,                0.00604,                0.00604
                     43,                0.66222,                0.42403,                0.98608,                0.95544,                0.95158,                0.96973,                0.81107,                0.66301,                0.31442,                0.98088,               0.005941,               0.005941,               0.005941
                     44,                0.65488,                0.41747,                 0.9799,                0.95991,                0.94885,                0.97041,                0.81108,                0.66334,                 0.3135,                0.98051,               0.005842,               0.005842,               0.005842
                     45,                 0.6435,                0.40431,                0.97558,                0.96287,                0.94836,                0.97089,                0.81127,                 0.6637,                0.31371,                 0.9805,               0.005743,               0.005743,               0.005743
                     46,                0.65292,                0.41518,                0.97696,                0.96236,                0.94765,                  0.971,                 0.8125,                0.66349,                0.31208,                0.97954,               0.005644,               0.005644,               0.005644
